epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,11412.4,0.70238,0.5579,1.09991,0.89912,0.89129,0.92603,0.72906,0.8249,0.58998,1.21251,0.0002972,0.0002972,0.0002972
88,11534.3,0.70116,0.56141,1.10701,0.88396,0.88667,0.91735,0.72794,0.80551,0.58283,1.19947,0.0002774,0.0002774,0.0002774
89,11655,0.70255,0.56862,1.11328,0.91139,0.85333,0.92404,0.73218,0.80536,0.57861,1.19696,0.0002576,0.0002576,0.0002576
90,11774.8,0.67549,0.57007,1.08803,0.91487,0.86,0.93006,0.73362,0.8226,0.57573,1.21136,0.0002378,0.0002378,0.0002378
91,11893.2,0.54313,0.43796,1.0379,0.88124,0.89044,0.92482,0.72678,0.83441,0.57475,1.237,0.000218,0.000218,0.000218
92,12012.5,0.53366,0.42351,1.0214,0.91479,0.86,0.92268,0.72346,0.82451,0.58036,1.22641,0.0001982,0.0001982,0.0001982
93,12130.8,0.52406,0.39566,1.00408,0.89278,0.89333,0.92964,0.73061,0.80301,0.57711,1.20291,0.0001784,0.0001784,0.0001784
94,12250.5,0.5241,0.39116,1.03149,0.90893,0.86502,0.93213,0.74501,0.8037,0.57798,1.21169,0.0001586,0.0001586,0.0001586
95,12369.3,0.51377,0.38459,1.00953,0.90252,0.86419,0.92548,0.74287,0.80437,0.57601,1.22035,0.0001388,0.0001388,0.0001388
96,12488.2,0.52665,0.39597,1.01601,0.88435,0.87333,0.92378,0.74081,0.79465,0.56652,1.20681,0.000119,0.000119,0.000119
97,12610,0.50045,0.37704,1.00367,0.90553,0.86,0.92979,0.74259,0.79468,0.55923,1.20737,9.92e-05,9.92e-05,9.92e-05
98,12728.7,0.49566,0.37347,0.97769,0.90171,0.85629,0.93394,0.74329,0.79064,0.57082,1.20096,7.94e-05,7.94e-05,7.94e-05
99,12849.6,0.50129,0.3761,1.0228,0.92369,0.84667,0.93337,0.74757,0.78211,0.56751,1.19131,5.96e-05,5.96e-05,5.96e-05
100,12968.9,0.50135,0.37568,1.01116,0.90551,0.86,0.93383,0.75241,0.77727,0.56756,1.19116,3.98e-05,3.98e-05,3.98e-05
